ID via;TIPO;Via;Tipo via
6868;1;ROBERTO ROSSELLINI;Via
6869;1;SERGIO TOFANO;Via
6870;1;DARIX TOGNI;Via
6871;1;MILLY CARLA MIGNONE;Via
6872;1;ANNA MARIA MOZZONI;Via
6873;1;GIACOMO BALLA;Via
6874;1;ROBERTO KOCH;Via
6875;1;FILIPPO MARIA BELTRAMI;Via
6876;1;LUCIANO BIANCIARDI;Via
6877;27;CARLO RAMOUS;Grd
6880;1;FELICE CASORATI;Via
6882;1;ACHILLE FUNI;Via
6883;1;EDGARDO MOLTONI;Via
6884;1;ARTURO CARLO JEMOLO;Via
6885;1;LEONE LEONI;Via
6886;1;GIOVANNI TITTA ROSA;Via
6888;1;ANTONIO RUBINO;Via
6890;1;KARL ZIEGLER;Via
6891;1;LIVIO CAMBI;Via
6892;7;ANGELO MORATTI;Ple
6893;1;RICCARDO LOMBARDI;Via
6895;1;FANTASIO PICCOLI;Via
6896;1;LUCERNA;Via
6897;1;COIRA;Via
6898;1;ASCONA;Via
6899;1;SANDRO PERTINI;Via
6900;3;SANDRO PERTINI;Pza
6903;1;MARCELLO NIZZOLI;Via
6904;1;GIO' PONTI;Via
6905;3;TERESIO OLIVELLI;Pza
6906;4;DON SATURNINO VILLA;Lgo
6907;1;BASILEA;Via
6908;10;GIUSEPPE LURAGHI;Cav
6909;1;UGO FRIGERIO;Via
6910;1;MONSIGNOR OSCAR ARNULFO ROMERO;Via
6911;1;DON GIUSEPPE GERVASINI;Via
6912;3;REMO CANTONI;Pza
6913;27;ALBERTO MORAVIA;Grd
6914;27;DELLE CROCEROSSINE;Grd
6915;27;AIDO ASSOCIAZIONE ITALIANA DONATORI ORGANI;Grd
6916;21;SANTI PATRONI D'ITALIA;Pzt
6917;1;GUSTAVO BONTADINI;Via
6918;27;GABRIELLA BORTOLON;Grd
6919;27;ANTONIO CUSTRA';Grd
6920;1;GIOVANNI ROTA;Via
6921;27;LUIGI MARANGONI;Grd
6922;1;IGNAZIO GARDELLA;Via
6923;1;ALDO ROSSI;Via
6924;27;RENATA TEBALDI;Grd
6925;20;ALDO ANIASI;Par
6926;1;PRATO;Via
6928;7;DELLA COOPERAZIONE;Ple
6929;3;GINO VALLE;Pza
6930;1;LUIGI MENGONI;Via
6931;1;LUCIANO BERIO;Via
6932;3;ELSA MORANTE;Pza
6933;20;INDUSTRIA ALFA ROMEO PORTELLO;Par
6934;3;TRE TORRI;Pza
6935;3;ALBERTO BURRI;Pza
6936;27;ARTEMISIA GENTILESCHI;Grd
6937;27;YITZHAK RABIN;Grd
6940;27;HELENIO HERRERA;Grd
6941;27;ROSA GENONI;Grd
7001;27;GUIDO VERGANI;Grd
7002;27;ASCANIO RAFFAELE CIRIELLO;Grd
7003;21;DON ABRAMO MARTIGNONI;Pzt
7073;4;PAOLO GRASSI;Lgo
7074;1;VIRGILIO BROCCHI;Via
7075;1;GIOVANNI PAPINI;Via
7076;1;PIETRO PANCRAZI;Via
7077;1;FRATELLI GRUBICY DE DRAGON;Via
7078;1;GIOVANNI VERGA;Via
7079;1;PAOLO LOMAZZO;Via
7080;1;RIVOLI;Via
7081;7;MARENGO;Ple
7082;1;LEGNANO;Via
7083;7;BIANCAMANO;Ple
7084;3;LEGA LOMBARDA;Pza
7085;2;ELVEZIA;Vle
7086;2;REPUBBLICA CISALPINA;Vle
7087;2;GIORGIO BYRON;Vle
7088;2;WOLFANGO GOETHE;Vle
7089;2;GIOVANNI BATTISTA RACINE;Vle
7090;2;ADAMO MICKIEWICZ;Vle
7091;2;MALTA;Vle
7092;2;ENRICO CONNEAU;Vle
7093;2;EUGENIO BEAUHARNAIS;Vle
7094;2;RAMIRO BARBARO DI SAN GIORGIO;Vle
7095;2;CONGRESSO CISPADANO;Vle
7096;2;COMIZI DI LIONE;Vle
7097;2;LEGIONE LOMBARDA;Vle
7098;2;GEROLAMO GADIO;Vle
7099;2;ENRICO IBSEN;Vle
7100;2;ALESSANDRO PETOFI;Vle
7101;2;ALESSANDRO PUSKIN;Vle
7102;2;FEDERICO SCHILLER;Vle
7103;2;GUGLIELMO SHAKESPEARE;Vle
7104;2;MICHELE CERVANTES;Vle
7105;2;LUIGI CAMOENS;Vle
7106;2;EMILIO ALEMAGNA;Vle
7107;2;GIOVANNI MILTON;Vle
7108;2;MOLIERE;Vle
7109;2;EMILIO ZOLA;Vle
7110;2;PIETRO E MARIA CURIE;Vle
7111;3;SEMPIONE;Pza
7112;1;AGOSTINO BERTANI;Via
7113;1;CESARE CESARIANO;Via
7114;3;SANTISSIMA TRINITA';Pza
7115;1;CARLO MARIA MAGGI;Via
7116;1;DOMENICO BALESTRIERI;Via
7117;2;GIULIO DOUHET;Vle
7118;1;FRANCESCO MELZI D'ERIL;Via
7119;3;ERCOLE LUIGI MORSELLI;Pza
7120;1;VITTORIO ALFIERI;Via
7121;1;LUIGI CANONICA;Via
7122;1;PIETRO GIANNONE;Via
7123;1;BRAMANTE;Via
7124;1;GUERCINO;Via
7125;1;GIORGIONE;Via
7126;2;MONTELLO;Vle
7127;1;GIUSEPPE GIUSTI;Via
7128;1;BRACCIO DA MONTONE;Via
7129;1;GIOVANNI BATTISTA NICCOLINI;Via
7130;1;GIORDANO BRUNO;Via
7131;1;MORAZZONE;Via
7132;1;ANTONIO ROSMINI;Via
7133;1;DOMENICO CIRILLO;Via
7134;1;FRANCESCO LONDONIO;Via
7135;1;GIUSEPPE PRINA;Via
7136;1;PIETRO MOSCATI;Via
7137;11;SEMPIONE;Cso
7138;1;ABBONDIO SANGIORGIO;Via
7139;1;GIUSEPPE FRANCESCO PIERMARINI;Via
7140;1;GIOVANNI GHERARDINI;Via
7141;1;FRANCESCO DOMENICO GUERRAZZI;Via
7142;1;GIOVANNI RANDACCIO;Via
7143;3;DEI VOLONTARI;Pza
7144;1;FILARETE;Via
7145;1;EUPILI;Via
7146;1;ANDREA MASSENA;Via
7147;1;MARCELLO PUCCI;Via
7148;1;ALBERTO RIVA VILLASANTA;Via
7149;1;GIOVANNI PRATI;Via
